Ime;Višinska_razlika;Zahtevnost;Čas
Polhograjska Grmada;590;lahka neoznačena steza;110
Rašica (Vrh Staneta Kosca);241;lahka označena pot;55
Rašica (Vrh Staneta Kosca);145;lahka označena pot;30
Rašica (Vrh Staneta Kosca);241;lahka označena pot;55
Rašica (Vrh Staneta Kosca);350;lahka označena pot;80
Rašica (Vrh Staneta Kosca);375;lahka označena pot;90
Rašica (Vrh Staneta Kosca);325;lahka označena pot;75
Rašica (Vrh Staneta Kosca);360;lahka označena pot;80
Rašica (Vrh Staneta Kosca);306;lahka označena pot;80
Rašica (Vrh Staneta Kosca);410;lahka označena pot;120
Rašica (Vrh Staneta Kosca);415;lahka označena pot;120
Rašica (Vrh Staneta Kosca);260;lahka označena pot;50
Rašica (Vrh Staneta Kosca);435;lahka označena pot;120
Rašica (Vrh Staneta Kosca);375;lahka označena pot;90
Rašica (Vrh Staneta Kosca);460;lahka označena pot;130
Rog;468;lahka označena pot;75
Rog;98;lahka neoznačena steza;30
Rog;480;lahka označena pot;80
Rog;485;lahka označena pot;115
Rog;375;lahka označena pot;75
Rog;435;lahka označena pot;100
Rog;550;lahka označena pot;165
Rog;400;lahka označena pot;90
Rog;500;lahka označena pot;150
Rog;425;lahka neoznačena steza;100
Severjev grič;23;delno zahtevna neoznačena pot;5
Šišenski hrib (Rožnik);150;lahka označena pot;40
Šišenski hrib (Rožnik);129;lahka označena pot;30
Šišenski hrib (Rožnik);130;lahka neoznačena steza;50
Sivka;550;lahka označena pot;120
Sivka;725;lahka označena pot;180
Sivka;300;lahka označena pot;90
Sivka;300;lahka neoznačena steza;50
Sivka;300;lahka neoznačena steza;60
Sivka;475;lahka označena pot;145
Sivka;280;lahka označena pot;100
Slavkov dom na Golem brdu;150;lahka označena pot;55
Slavkov dom na Golem brdu;100;lahka označena pot;55
Šmarna gora;400;zelo zahtevna označena pot;90
Šmarna gora;366;lahka označena pot;55
Šmarna gora;352;lahka označena pot;50
Šmarna gora;352;lahka označena pot;45
Šmarna gora;334;lahka označena pot;55
Šmarna gora;400;delno zahtevna označena pot;90
Šmarna gora;364;lahka označena pot;60
Šmarna gora;366;lahka označena pot;60
Šmarna gora;400;lahka označena pot;95
Šmarna gora;334;lahka označena pot;65
Šmarna gora;364;lahka označena pot;60
Šmarna gora;360;lahka označena pot;90
Šmarna gora;349;lahka označena pot;70
Šmarna gora;340;lahka označena pot;70
Šmarna gora;380;lahka označena pot;105
Šmarna gora;350;lahka označena pot;90
Šmarna gora;360;lahka označena pot;70
Šmarna gora;340;lahka označena pot;70
Šmarna gora;380;lahka označena pot;105
Šmarna gora;350;lahka označena pot;95
Šmarna gora;375;lahka označena pot;80
Šmarna gora;375;lahka označena pot;90
Šmarna gora;375;lahka označena pot;95
Smledniški hrib (Stari grad);160;lahka neoznačena steza;20
Smledniški hrib (Stari grad);117;lahka neoznačena steza;15
Smledniški hrib (Stari grad);225;lahka označena pot;75
Smledniški hrib (Stari grad);235;lahka označena pot;100
Smledniški hrib (Stari grad);169;lahka neoznačena steza;45
Straža;99;lahka neoznačena steza;30
Straža;68;lahka neoznačena steza;15
Stražni stolp pod vrhom Kovčka;89;lahka označena pot;20
Stražni vrh;90;lahka neoznačena steza;30
Strmca;300;lahka označena pot;75
Strmca;163;lahka označena pot;45
Strmca;215;lahka označena pot;60
Strmca;142;lahka označena pot;25
Strmca;142;lahka označena pot;30
Strmca;280;lahka neoznačena steza;70
Strmca;175;lahka neoznačena steza;50
Strmec (nad Dragomerom);137;lahka neoznačena steza;30
Strmec (nad Dragomerom);149;lahka neoznačena steza;30
Sveta Ana (Butajnova);165;lahka označena pot;35
Sveta Barbara (nad Hrastnico);235;lahka neoznačena steza;45
Sveta Jedert;300;lahka označena pot;60
Sveta Jedert;40;lahka označena pot;10
Sveta Katarina (Topol);415;lahka označena pot;70
Sveta Katarina (Topol);370;lahka označena pot;90
Sveta Katarina (Topol);87;lahka označena pot;15
Sveta Katarina (Topol);425;lahka označena pot;105
Sveta Katarina (Topol);330;lahka označena pot;75
Sveta Katarina (Topol);340;lahka označena pot;80
Sveta Katarina (Topol);515;lahka označena pot;155
Sveta Katarina (Topol);410;lahka označena pot;95
Sveta Katarina (Topol);440;lahka označena pot;140
Sveta Marjeta pod Jeterbenkom;72;lahka označena pot;10
Sveta Marjeta pod Jeterbenkom;175;lahka označena pot;75
Sveta Marjeta pod Jeterbenkom;72;lahka označena pot;15
Sveta Uršula (Setnica);300;lahka označena pot;50
Sveta Uršula (Setnica);375;lahka neoznačena steza;75
Sveti Andrej (nad Zmincem);270;lahka označena pot;75
Sveti Andrej (nad Zmincem);230;lahka neoznačena steza;50
Sveti Andrej (Planina nad Horjulom);300;lahka označena pot;75
Sveti Andrej (Planina nad Horjulom);117;lahka označena pot;25
Sveti Florijan (Tehovec);365;lahka označena pot;75
Sveti Florijan (Tehovec);360;lahka označena pot;75
Sveti Florijan (Tehovec);270;lahka označena pot;50
Sveti Florijan (Tehovec);380;lahka neoznačena steza;80
Sveti Jakob;165;lahka označena pot;40
Sveti Jakob;375;lahka označena pot;70
Sveti Jakob;500;lahka označena pot;105
Sveti Jakob;478;lahka označena pot;90
Sveti Jakob;495;lahka označena pot;105
Sveti Jakob;375;lahka označena pot;60
Sveti Jakob;180;lahka označena pot;45
Sveti Jakob;485;lahka označena pot;135
Sveti Jakob;505;lahka označena pot;125
Sveti Jakob;450;lahka označena pot;120
Sveti Jakob;585;lahka označena pot;195
Sveti Jakob;445;lahka označena pot;125
Sveti Jakob;550;lahka označena pot;180
Sveti Jakob;515;lahka neoznačena steza;110
Sveti Jurij (Hruševo);93;lahka neoznačena steza;20
Sveti Jurij (Praproče);200;lahka označena pot;45
Sveti križ na Hribcu;40;lahka označena pot;10
Sveti Lenart;500;delno zahtevna označena pot;105
Sveti Martin nad Brišami;192;lahka neoznačena steza;35
Sveti Mihael na Samotorici;285;lahka označena pot;45
Sveti Ožbolt (nad Zmincem);249;lahka označena pot;60
Sveti Ožbolt (nad Zmincem);200;lahka označena pot;75
Sveti Ožbolt (nad Zmincem);535;lahka označena pot;135
Sveti Ožbolt (nad Zmincem);485;lahka neoznačena steza;100
Sveti Tilen nad Repnjami;73;lahka označena pot;10
Sveti Urban (nad Gorenjo Dobravo);160;lahka označena pot;25
Sveti Urban (nad Gorenjo Dobravo);150;lahka neoznačena steza;25
Sveti Urh (nad Zaklancem);66;lahka označena pot;25
Sveti Urh (nad Zaklancem);35;lahka označena pot;20
Sveti Urh (nad Zaklancem);80;lahka označena pot;15
Tabor (nad Črnučami);74;lahka neoznačena steza;15
Tošč;315;lahka označena pot;60
Tošč;550;lahka označena pot;135
Tošč;750;lahka označena pot;150
Tošč;250;lahka označena pot;45
Tošč;415;lahka označena pot;120
Tošč;640;lahka označena pot;110
Tošč;500;delno zahtevna neoznačena pot, lahka označena pot;75
Tošč;350;lahka označena pot;105
Tošč;520;lahka označena pot;95
Tošč;820;lahka označena pot;185
Tošč;580;lahka označena pot;110
Tošč;570;lahka neoznačena steza, lahka označena pot;110
Tošč;555;lahka neoznačena steza, lahka označena pot;100
Toško Čelo;300;lahka označena pot;60
Toško Čelo;350;lahka označena pot;105
Toško Čelo;210;lahka označena pot;35
Toško Čelo;250;lahka neoznačena steza;45
Toško Čelo;275;lahka neoznačena steza;55
Toško Čelo;274;lahka neoznačena steza;50
Veliki hrib;40;lahko brezpotje;25
Veliki vrh (Rašica);252;lahka neoznačena steza;45
Visoki hrib;275;lahka označena pot;75
Visoki hrib;195;lahka označena pot;50
Vrh (Debeli hrib);265;lahka neoznačena steza;60
Vrh (Debeli hrib);243;lahka neoznačena steza;40
Vrh (Debeli hrib);230;lahka neoznačena steza;70
Vrh (Debeli hrib);250;lahka označena pot;60
Vrh (Debeli hrib);260;lahka označena pot;75
Vrh (Debeli hrib);360;lahka neoznačena steza;120
Vrh (Debeli hrib);170;lahka neoznačena steza;45
Vrhe nad Dobrovo;295;lahka neoznačena steza;50
Vrhe nad Dobrovo;284;lahka neoznačena steza;60
Vrhovčev grič;200;lahka označena pot;50
Vrhovčev grič;340;lahka neoznačena steza;95
Vrhovčev grič;135;lahka neoznačena steza;30
Vrhovčev grič;170;lahka neoznačena steza;45
Vrhovčev grič;200;lahka označena pot;70
Adijev bivak na Reški planini;750;lahka označena pot;195
Ajdovščina nad Ihanom;120;lahka neoznačena steza;25
Almin dom na Svetini;550;lahka označena pot;120
Almin dom na Svetini;450;delno zahtevna označena pot;90
Almin dom na Svetini;580;lahka označena pot;90
Almin dom na Svetini;1050;lahka označena pot;195
Almin dom na Svetini;590;lahka označena pot;105
Almin dom na Svetini;588;lahka označena pot;105
Almin dom na Svetini;790;lahka označena pot;165
Almin dom na Svetini;740;lahka označena pot;150
Almin dom na Svetini;680;lahka označena pot;150
Almin dom na Svetini;456;lahka označena pot, lahka neoznačena steza;80
Almin dom na Svetini;502;lahka označena pot;95
Almin dom na Svetini;596;lahka označena pot;140
Baba;237;delno zahtevna označena pot;40
Babni vrh;437;lahka označena pot, lahka neoznačena steza;75
Babni vrh;473;lahka označena pot, lahka neoznačena steza;90
Babni vrh;600;lahka označena pot, lahka neoznačena steza;120
Babni vrh;577;lahka označena pot, lahka neoznačena steza;135
Bajturn (Zaplaški hrib);185;lahka označena pot;50
Bajturn (Zaplaški hrib);165;lahka označena pot;40
Bajturn (Zaplaški hrib);75;lahka označena pot;20
Bajturn (Zaplaški hrib);100;lahka označena pot;30
Bajturn (Zaplaški hrib);325;lahka označena pot;80
Bajturn (Zaplaški hrib);350;lahka označena pot;90
Bajturn (Zaplaški hrib);350;lahka označena pot;90
Bajturn (Zaplaški hrib);360;lahka označena pot;100
Bavč;392;zahtevna označena pot, lahka neoznačena steza;60
Bavč;438;lahka označena pot;70
Bavč;388;lahka označena pot, lahka neoznačena steza;105
Bavč;481;lahka označena pot, lahka neoznačena steza;150
Brest (Bohor);497;lahka označena pot;90
Brest (Bohor);558;lahka označena pot;120
Brest (Bohor);475;lahka označena pot;100
Brest (Bohor);475;lahka označena pot;155
Brest (Bohor);350;lahka označena pot;140
Celjska koča;440;lahka označena pot;70
Celjska koča;375;zahtevna označena pot;85
Celjska koča;620;ni podatka;130
Celjska koča;570;lahka označena pot;120
Celjska koča;500;lahka označena pot;110
Celjska koča;740;lahka označena pot;165
Celjska koča;520;lahka označena pot;120
Celjska koča;1200;lahka označena pot;270
Celjska koča;715;lahka označena pot;150
Celjska koča;715;lahka označena pot;180
Celjska koča;352;lahka označena pot;60
Celjska koča;348;lahka označena pot, lahka neoznačena steza;105
Celjska koča;441;lahka označena pot, lahka neoznačena steza;150
Cerkev Lurške Matere Božje (Lurd);87;lahka označena pot;15
Cerkev sv. Krištofa na Gramnu;95;lahka označena pot;17
Cerkev sv. Mihaela na Šmihelu;220;lahka označena pot;40
Cerkev sv. Mihaela na Šmihelu;240;lahka označena pot;52
Cicelj;460;lahka označena pot;105
Cicelj;561;lahka označena pot;90
Cicelj;255;lahka označena pot;45
Cicelj;252;lahka označena pot;40
Cicelj;570;lahka označena pot;90
Cicelj;570;lahka označena pot;100
Cicelj;575;lahka označena pot;105
Ciganov vrh (Korinjski hrib);446;lahka označena pot;105
Črni hrib (Golovec);185;lahka neoznačena steza;55
Črni hrib (Golovec);135;lahka neoznačena steza;30
Črni hrib (Golovec);165;lahka neoznačena steza;50
Črni hrib (Golovec);190;lahka neoznačena steza;50
Črni hrib (Golovec);141;lahka neoznačena steza;50
Črni vrh (Čemšeniška planina);334;lahka označena pot;60
Črni vrh (Čemšeniška planina);534;lahka označena pot;90
Črni vrh (Čemšeniška planina);685;lahka označena pot;165
Črni vrh (Čemšeniška planina);400;lahka označena pot;90
Črni vrh (Čemšeniška planina);950;delno zahtevna označena pot;195
Črni vrh (Čemšeniška planina);750;lahka označena pot;165
Črni vrh (Čemšeniška planina);826;lahka označena pot;150
Črni vrh (Čemšeniška planina);930;lahka označena pot;215
Črni vrh (Čemšeniška planina);1000;lahka označena pot;240
Črni vrh (Čemšeniška planina);715;lahka označena pot;210
Črni vrh (Čemšeniška planina);900;lahka označena pot;180
Črni vrh (Čemšeniška planina);900;lahka označena pot, lahka neoznačena steza;190
Črni vrh (Čemšeniška planina);720;lahka označena pot;180
Debeli vrh (Bohor);610;lahka označena pot;105
Debeli vrh (Bohor);680;lahka označena pot;155
Debeli vrh (Bohor);500;lahka označena pot;150
Debeli vrh (Bohor);460;lahka označena pot;95
Debenji vrh;280;lahka označena pot;45
Debenji vrh;85;lahka označena pot;30
Debenji vrh;265;lahka neoznačena steza;40
Debenji vrh;280;lahka označena pot;40
Debenji vrh;300;lahka neoznačena steza;60
Debenji vrh;260;lahka neoznačena steza;50
Dom Frata;200;lahka označena pot;100
Dom Frata;185;lahka označena pot;105
Dom Frata;315;lahka označena pot;145
Dom LD Dobrnič;145;lahka označena pot;65
Dom LD Dobrnič;135;lahka označena pot;45
Dom LD Dobrnič;265;lahka označena pot;85
Dom na Bukovici;284;lahka označena pot;45
Dom na Bukovici;184;lahka označena pot;30
Dom na Mirni gori;550;lahka označena pot;135
Dom na Mirni gori;550;lahka označena pot;120
Dom na Mirni gori;263;lahka označena pot;35
Dom na Mirni gori;550;lahka označena pot;120
Dom na Šmohorju;575;lahka označena pot;120
Dom na Šmohorju;434;lahka označena pot;75
Dom na Šmohorju;114;lahka označena pot;45
Dom na Šmohorju;565;lahka označena pot;95
Dom na Šmohorju;750;lahka označena pot;120
Dom na Šmohorju;460;lahka označena pot;90
Dom na Šmohorju;581;lahka neoznačena steza, lahka označena pot;100
Dom na Zgornji Slivni;181;lahka označena pot;30
Dom na Zgornji Slivni;450;lahka označena pot;135
Dom na Zgornji Slivni;370;lahka označena pot;90
Dom na Zgornji Slivni;540;lahka označena pot;170
Dom pod Reško planino;500;lahka označena pot;135
Dom pod Reško planino;330;lahka označena pot;60
Dom pod Reško planino;400;lahka označena pot;135
Dom pod Reško planino;130;lahka označena pot;95
Dom pri Miklavžu;36;lahka označena pot;15
Dom Ušte - Žerenk;158;lahka označena pot;35
Dom Ušte - Žerenk;268;lahka označena pot;40
Dom Ušte - Žerenk;285;lahka označena pot;70
Dom Ušte - Žerenk;285;lahka označena pot;120
Dom Ušte - Žerenk;170;lahka označena pot;100
Dom Ušte - Žerenk;340;lahka označena pot;155
Dom v Gorah;490;lahka označena pot;90
Dom v Gorah;312;lahka označena pot;65
Dom v Gorah;400;lahka označena pot;80
Dom v Gorah;355;lahka označena pot;75
Dom v Gorah;710;lahka označena pot;160
Dom v Gorah;725;lahka označena pot;160
Dragov dom na Homu;330;lahka označena pot;90
Dragov dom na Homu;220;lahka označena pot;35
Dragov dom na Homu;321;lahka označena pot;60
Dragov dom na Homu;335;lahka označena pot;75
Dragov dom na Homu;330;lahka označena pot;100
Dragov dom na Homu;330;lahka označena pot;110
Gače;285;lahka označena pot;60
Gašperjeva koča pod Velikim Kozjem;235;lahka označena pot;40
GEOSS;450;lahka označena pot;155
GEOSS;190;lahka označena pot;60
GEOSS;545;lahka označena pot;190
GEOSS;460;lahka neoznačena steza;170
Golava;404;lahka označena pot;75
Golava;384;zahtevna označena pot;75
Golava;384;delno zahtevna označena pot;75
Golčaj;278;lahka označena pot;40
Golčaj;350;lahka označena pot;150
Golčaj;405;lahka neoznačena steza, lahka označena pot;120
Golčaj;470;lahka označena pot;200
Gorišca;330;lahka označena pot;75
Govško brdo;259;lahka označena pot;40
Govško brdo;705;lahka neoznačena steza;155
Govško brdo;705;lahka označena pot;155
Gozdnik;640;lahka označena pot;105
Gozdnik;430;lahka označena pot;70
Gozdnik;950;lahka označena pot;225
Gozdnik;465;lahka označena pot;90
Gozdnik;800;lahka označena pot;180
Gozdnik;915;lahka označena pot;200
Grad Fridrihštajn;506;zelo zahtevna označena pot;90
Grad Fridrihštajn;506;lahka označena pot;90
Grad Kozje (Drachenburg);90;delno zahtevna označena pot;20
Grad Podsreda;230;lahka označena pot;40
Grad Turjak;200;lahka označena pot;40
Grad Turjak;15;lahka označena pot;10
Grad Turjak;162;lahka označena pot;20
Grad Višnja Gora (Stari grad);135;lahka označena pot;30
Gradišče;300;lahka označena pot;90
Gradišče (pri Grižah);68;lahka neoznačena steza;30
Gradišče nad Ilovo Goro;72;lahka neoznačena steza;20
Gradiše (nad Štorami);456;lahka označena pot, lahka neoznačena steza;90
Gradiški grič;130;lahka označena pot, lahka neoznačena steza;25
Gradiški grič;130;lahka neoznačena steza;20
Gradiško jezero;40;lahka neoznačena steza;60
Grmada (Bohor);390;lahka označena pot;80
Grmada na Mali gori;350;lahka označena pot;100
Grmada na Mali gori;347;lahka označena pot;60
Grmada na Mali gori;455;lahka označena pot;80
Grmada na Mali gori;400;lahka označena pot;120
Grmada na Mali gori;425;lahka neoznačena steza;95
Grmada na Mali gori;625;lahka označena pot;230
Grmada na Mali gori;347;lahka označena pot;120
Grmada na Mali gori;445;lahka označena pot;120
Grmada nad Celjem;500;lahka označena pot;90
Grmada nad Celjem;450;zahtevna označena pot;105
Grmada nad Celjem;478;delno zahtevna označena pot;75
Grmada nad Celjem;464;lahka označena pot;75
Grmada nad Celjem;420;lahka označena pot, lahka neoznačena steza;120
Grmadnik;300;lahka neoznačena steza;55
Gruska jama;30;delno zahtevna označena pot;30
Herkulovo svetišče na Bregu;50;lahka označena pot;10
Hom nad Celjem;250;lahka označena pot;40
Hom nad Celjem;590;lahka označena pot;140
Hom nad Celjem;330;lahka neoznačena steza;60
Hom nad Celjem;370;lahka neoznačena steza;70
Hotel Polževo;260;lahka označena pot;80
Hribce;35;lahka neoznačena steza;20
Hum nad Laškim;290;zahtevna označena pot;70
Hum nad Laškim;284;delno zahtevna označena pot;35
Izvir Krke;50;lahka označena pot;50
Izvir Krke;10;lahka označena pot;10
Janče;192;lahka označena pot;30
Janče;532;lahka označena pot;105
Janče;525;lahka označena pot;135
Janče;415;lahka označena pot;135
Janče;512;lahka označena pot;135
Janče;554;lahka označena pot;210
Jasovnik;184;lahka označena pot;45
Javor;833;lahka neoznačena steza;150
Javor;250;lahka neoznačena steza;35
Javor;440;lahka neoznačena steza;120
Javor;860;delno zahtevna označena pot, lahka neoznačena steza;185
Javor;830;lahka neoznačena steza;145
Javor;570;lahka neoznačena steza;125
Jelovička in Mihova jama;29;lahka neoznačena steza;10
Kal;800;lahka označena pot;145
Kal;695;lahka označena pot;145
Kalanov hrib (Kalanček);351;lahka označena pot;45
Kalanov hrib (Kalanček);356;lahka označena pot;45
Kamčič;320;lahka neoznačena steza;75
Kamčič;220;lahka označena pot;70
Kamčič;252;lahka neoznačena steza;45
Kamen vrh;233;lahka označena pot;45
Kamen vrh;316;lahka označena pot;50
Kamen vrh;375;lahka označena pot;60
Kamen vrh;243;lahka označena pot;75
Kamen vrh;350;lahka označena pot;155
Kamnik;481;delno zahtevna označena pot;80
Kamnik;411;zahtevna označena pot;75
Kamnik;585;delno zahtevna označena pot;150
Kamnik;399;zahtevna označena pot;70
Kamnolom mlinskih kamnov;120;lahka neoznačena steza;30
Kapelica pri Mariji pod Srebotnikom;285;lahka označena pot;75
Kapelica pri Mariji pod Srebotnikom;500;lahka označena pot;135
Klobuk;600;lahka označena pot;90
Klobuk;600;lahka označena pot;145
Kmečki turizem Obolno;230;lahka označena pot;75
Kmečki turizem Obolno;200;lahka označena pot;70
Koča na Bohorju;396;lahka označena pot;60
Koča na Bohorju;680;lahka označena pot;180
Koča na Bohorju;585;lahka označena pot;180
Koča na Bohorju;378;lahka označena pot;190
Koča na Bohorju;450;lahka označena pot;120
Koča na Bohorju;575;lahka označena pot;185
Koča na Čemšeniški planini;450;lahka označena pot;75
Koča na Čemšeniški planini;250;lahka označena pot;45
Koča na Čemšeniški planini;400;lahka označena pot;105
Koča na Čemšeniški planini;600;lahka označena pot;150
Koča na Čemšeniški planini;660;lahka označena pot;150
Koča na Čemšeniški planini;950;delno zahtevna označena pot;210
Koča na Čemšeniški planini;815;lahka označena pot;160
Koča na Čemšeniški planini;715;lahka označena pot;225
Koča na Čemšeniški planini;930;lahka označena pot;230
Koča na Čemšeniški planini;1000;lahka označena pot;255
Koča na Čemšeniški planini;815;lahka označena pot;165
Koča na Čemšeniški planini;815;lahka označena pot, lahka neoznačena steza;175
Koča na Čemšeniški planini;700;lahka označena pot;195
Koča na Kopitniku;150;lahka označena pot;75
Koča na Kopitniku;652;lahka označena pot;100
Koča na Kopitniku;665;lahka označena pot;100
Koča na Kopitniku;450;lahka označena pot;90
Koča na Kopitniku;465;lahka označena pot;90
Koča pri Jelenovem studencu;450;lahka označena pot;90
Koča pri Jelenovem studencu;400;lahka označena pot;75
Koča pri Sveti Ani na Mali gori;260;lahka označena pot;45
Koča pri Sveti Ani na Mali gori;435;lahka označena pot;75
Koča pri Sveti Ani na Mali gori;295;lahka označena pot;60
Koča pri Sveti Ani na Mali gori;480;lahka označena pot;165
Koča pri Sveti Ani na Mali gori;635;lahka označena pot;255
Koča pri Sveti Ani na Mali gori;730;lahka označena pot;235
Koča pri Sveti Ani na Mali gori;705;lahka označena pot;250
Koča pri Sveti Ani na Mali gori;690;lahka označena pot;275
Kopitnik;715;delno zahtevna označena pot;125
Kopitnik;215;delno zahtevna označena pot;100
Kopitnik;725;delno zahtevna označena pot;125
Kopitnik;580;delno zahtevna označena pot;115
Kopitnik;720;delno zahtevna označena pot;125
Kopitnik;525;delno zahtevna označena pot;115
Koprivnik (Bohor);484;lahka označena pot;80
Koprivnik (Bohor);770;lahka označena pot;190
Koprivnik (Bohor);673;lahka označena pot;195
Koprivnik (Bohor);510;lahka označena pot;120
Koprivnik (Bohor);620;lahka označena pot;185
Kotečnik;342;lahka označena pot;75
Kotečnik;433;lahka neoznačena steza;65
Kozice;385;lahka označena pot;75
Kozice;367;lahka označena pot;90
Kožljevec;292;lahka označena pot;70
Krvavica;509;delno zahtevna označena pot;80
Krvavica;630;lahka označena pot;130
Kucelj;198;lahka označena pot;45
Kucelj;145;lahka označena pot;45
Kucelj;98;lahka označena pot;25
Kum;1019;lahka označena pot;180
Kum;270;lahka označena pot;40
Kum;970;lahka označena pot;210
Kum;270;lahka označena pot;50
Kum;687;lahka označena pot;120
Kum;1050;lahka označena pot;185
Kum;1015;lahka označena pot;175
Kum;1000;lahka označena pot;180
Lahomniški sopot;800;lahka označena pot;240
Lavričeva koča na Gradišču;144;lahka označena pot;30
Lavričeva koča na Gradišču;47;lahka označena pot;10
Lazarjev vrh;200;lahka neoznačena steza;50
Ledena jama na Stojni;440;lahka označena pot;105
Ledenik;625;lahka označena pot;135
Ledenik;250;lahka označena pot;75
Ledenik;700;lahka označena pot;195
Limbarska gora;273;lahka označena pot;45
Limbarska gora;410;lahka označena pot;75
Limbarska gora;425;lahka označena pot;90
Limbarska gora;415;lahka označena pot;95
Limbarska gora;460;lahka označena pot;115
Limbarska gora;410;lahka označena pot;85
Limbarska gora;500;lahka označena pot;210
Limbarska gora;500;lahka označena pot;195
Limbarska gora;450;lahka neoznačena steza, lahka označena pot;115
Limberk;120;lahka neoznačena steza;35
Lipovec;345;lahka neoznačena steza;90
Lisca;728;lahka označena pot;120
Lisca;308;izjemno zahtevna označena pot;45
Lisca;707;delno zahtevna neoznačena pot;80
Lisca;882;lahka označena pot;170
Lisec (Liška gora);315;lahka označena pot;60
Livoldski vrh;530;lahka označena pot;105
Livoldski vrh;460;lahka neoznačena steza;70
Lovski dom Bohor;340;lahka označena pot;90
Lovski dom na Govcah;80;lahka označena pot;60
Lovski dom na Govcah;445;lahka označena pot;105
Lovski dom na Govcah;100;lahka označena pot;70
Lovski dom na Vrhtrebnjem;310;lahka označena pot;55
Lovski dom na Vrhtrebnjem;300;lahka označena pot;50
Lovski dom na Vrhtrebnjem;235;lahka označena pot;60
Lovski dom na Vrhtrebnjem;335;lahka označena pot;100
Lovski vrh;245;lahka označena pot;45
Lovski vrh;78;lahka neoznačena steza;15
Luknje;145;lahka neoznačena steza;30
Magdalenska gora;50;lahka označena pot;15
Mala Radenska stena;90;lahka označena pot;35
Mali Bojanski vrh;284;lahka označena pot, lahka neoznačena steza;40
Mali Bojanski vrh;284;lahka označena pot, lahka neoznačena steza;45
Mali Bojanski vrh;320;lahka označena pot, lahka neoznačena steza;45
Mali Bojanski vrh;447;lahka označena pot, lahka neoznačena steza;105
Mali Bojanski vrh;397;lahka označena pot, lahka neoznačena steza;90
Malič;725;lahka označena pot;135
Malič;675;lahka označena pot;120
Malič;350;lahka označena pot;90
Malič;675;lahka označena pot;135
Malič;729;lahka označena pot, lahka neoznačena steza;100
Malič;780;lahka označena pot;120
Malič;734;lahka označena pot, lahka neoznačena steza;110
Markova glava (razgledna stena);200;lahka neoznačena steza;30
Mazovnik (Golovec);200;lahka neoznačena steza;65
Mazovnik (Golovec);180;lahka neoznačena steza;55
Mazovnik (Golovec);150;lahka neoznačena steza;35
Mazovnik (Golovec);200;lahka označena pot;60
Mazovnik (Golovec);210;lahka neoznačena steza;60
Mehovski hrib;302;lahka označena pot;45
Mehovski hrib;124;lahka neoznačena steza;20
Mehovski hrib;124;zahtevna neoznačena steza;20
Mehovski hrib;119;lahka neoznačena steza;20
Mehovski hrib;120;zahtevna neoznačena steza;20
Mestni vrh;570;lahka označena pot;90
Mestni vrh;570;lahka označena pot;100
Miklavžev hrib (Miklavški hrib);153;lahka označena pot;20
Miklavžev hrib (Miklavški hrib);158;lahka označena pot;25
Miklavžev hrib (Razgledni stolp);135;lahka označena pot;20
Miklavžev hrib (Razgledni stolp);135;lahka označena pot;20
Mirna gora;320;lahka označena pot;45
Mirna gora;600;lahka označena pot;130
Mirna gora;47;lahka označena pot;10
Mirna gora;600;lahka označena pot;130
Mrzlica;415;lahka označena pot;75
Mrzlica;823;lahka označena pot;150
Mrzlica;672;lahka označena pot;150
Mrzlica;1000;lahka označena pot;180
Mrzlica;720;lahka označena pot;150
Mrzlica;900;lahka označena pot;180
Mrzlica;660;lahka označena pot;105
Murjevka;180;lahka neoznačena steza;40
Murovica;216;lahka označena pot;45
Murovica;152;lahka označena pot;25
Murovica;175;lahka označena pot;45
Murovica;450;lahka označena pot;80
Murovica;545;lahka označena pot;125
Murovica;510;lahka označena pot;115
Murovica;530;lahka označena pot;160
Murovica;555;lahka neoznačena steza;160
Naravno bohorsko okno;580;lahka označena pot;190
Naravno bohorsko okno;415;lahka označena pot;70
Naravno bohorsko okno;455;lahka označena pot;125
Nebeška gora;640;lahka označena pot;150
Obolno;200;lahka označena pot;60
Obolno;250;lahka označena pot;80
Obolno;230;lahka označena pot;70
Obolno;245;lahka označena pot;75
Oklo nad Ihanom;225;lahka označena pot;90
Oklo nad Ihanom;265;lahka neoznačena steza;100
Oklo nad Ihanom;250;lahka neoznačena steza;90
Oklo nad Ihanom;290;lahka neoznačena steza;100
Oljska gora;112;lahka označena pot;20
Oljska gora;115;lahka neoznačena steza;25
Oljska gora;107;lahka neoznačena steza;20
Orle;150;lahka označena pot;70
Orle;115;lahka označena pot;40
Orle;250;lahka označena pot;105
Orle;200;lahka označena pot;75
Orle;260;lahka neoznačena steza;105
Oslica (Bohor);549;lahka označena pot;105
Oslica (Bohor);610;lahka označena pot;130
Oslica (Bohor);410;lahka označena pot, lahka neoznačena steza;155
Oslica (Bohor);530;lahka označena pot, lahka neoznačena steza;115
Oslica (Bohor);530;lahka označena pot, lahka neoznačena steza;170
Ostrež;602;lahka označena pot;90
Ostri vrh;350;delno zahtevna označena pot;80
Ostri vrh (nad Globodolom);225;lahka označena pot;80
Ostri vrh (nad Globodolom);265;lahka označena pot;75
Ostri vrh (nad Globodolom);220;lahka označena pot;60
Pašnik Lipovec;250;lahka označena pot;85
Pastirska kapelica;530;lahka označena pot;120
Pečovniška koča na Grmadi;350;zahtevna označena pot;85
